"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1917697140685693132","Wed Apr 30 21:46:42 +0000 2025","0","LUCU BANGET KENAPA SIIIII GUA GILA CUMA GARA GARA LIAT ZIZE DIFFERENCE LEGOxPondPhuwinPerth #LEGOStarWars #PondPhuwin","1917697140685693132","","","in","","0","0","0","https://x.com/undefined/status/1917697140685693132","1580887543478104064",
"1917592867117359421","Wed Apr 30 16:23:07 +0000 2025","1","@ThulaniNombali @RtSamuel90 Le ngwenya remind me eza winger zakudala o Pule Malatsi or Khanye zaziyi qonda ngqoo idefender zazinga jikeleze ne bhola zibamba bhola zize kuwe zicele ndlela","1917615711469318311","","ThulaniNombali","in","","1","0","1","https://x.com/undefined/status/1917615711469318311","3208267089",
"1917506275069366465","Wed Apr 30 15:00:31 +0000 2025","0","@elonmuskADO Zize","1917594924356362365","","elonmuskADO","ht","","0","0","0","https://x.com/undefined/status/1917594924356362365","1440428125918138376",
"1917585348881678627","Wed Apr 30 14:32:09 +0000 2025","3","@bless_link @atletienglish Zize ku isoko! https://t.co/Vh13hVD7Uu","1917587784048546237","https://pbs.twimg.com/media/Gpyj7DsXAAAp6nd.jpg","bless_link","in","","0","2","0","https://x.com/undefined/status/1917587784048546237","599023563",
"1917563638443049024","Wed Apr 30 12:56:12 +0000 2025","0","alamak tampan skli by","1917563638443049024","","","in","","0","0","0","https://x.com/undefined/status/1917563638443049024","1299591241026347014",
"1917529893744828590","Wed Apr 30 10:42:07 +0000 2025","1","suka bgt sm baila tp kenapa temenan ama zize","1917529893744828590","","","in","","0","0","1","https://x.com/undefined/status/1917529893744828590","1625146639584477186",
"1917509058162221579","Wed Apr 30 09:19:19 +0000 2025","0","Bangsat juga pedofil makin kesini makin marak","1917509058162221579","","","in","","0","0","0","https://x.com/undefined/status/1917509058162221579","3197742307",
"1917494594868240723","Wed Apr 30 08:21:51 +0000 2025","0","mau beli akun neflix yg sehari nya dong #zonauang #zonajajan","1917494594868240723","","","in","","0","35","0","https://x.com/undefined/status/1917494594868240723","1812261388724879360",
"1917471543908786614","Wed Apr 30 06:58:20 +0000 2025","0","Sunday zize guilders to show face ba ziphuma kwi fellowship zahamba with elinye gosa oyiyo kwa guilder. Lindibuze ba bangaza nini beyicawe ndimphendule ndithi ningakhetha noba luluphi suku asinangxaki thina. Sister wam khonza eNonzwakazi NY1 mna ndise Mandalay.","1917473576350888136","","NtombiZoNcuthu","in","","0","1","0","https://x.com/undefined/status/1917473576350888136","2214352402",
"1917120392407244919","Wed Apr 30 06:57:16 +0000 2025","0","@MoraraKebasoSnr Wewe tuliza ball hata kiti ya MCA huwezi pewa","1917473309995782540","","MoraraKebasoSnr","in","","0","0","0","https://x.com/undefined/status/1917473309995782540","1529531386503344128",
"1917456660190355959","Wed Apr 30 06:54:11 +0000 2025","0","@MoraraKebasoSnr Wee peleka umbwakini uko ghasia hii wewe ni Kasongo project","1917472532384604427","","MoraraKebasoSnr","in","","0","0","0","https://x.com/undefined/status/1917472532384604427","1529531386503344128",
"1917459433120227573","Wed Apr 30 06:02:08 +0000 2025","0","busett panas banget jir ini pwt","1917459433120227573","","","in","","0","0","0","https://x.com/undefined/status/1917459433120227573","999659267052326912",
"1917427500998877338","Wed Apr 30 03:55:14 +0000 2025","0","ih nyesel banget kocak bulan lalu udah beli spo prem buat 2 bulan 54k sekarang malah ada promo 54k/3 bulan AAAAAAAAA","1917427500998877338","","","in","","1","0","0","https://x.com/undefined/status/1917427500998877338","999659267052326912",
"1917361849026371729","Wed Apr 30 03:36:04 +0000 2025","0","@thviia_jw jir lah semangat wehh aku nanti malem juga ada praktikum","1917422673904427345","","thviia_jw","in","","0","1","0","https://x.com/undefined/status/1917422673904427345","999659267052326912",
"1917378475037540707","Wed Apr 30 01:15:42 +0000 2025","0","@unsoedmfs ke mipa nder","1917387352395382839","","unsoedmfs","in","","0","0","0","https://x.com/undefined/status/1917387352395382839","999659267052326912",
"1917361849026371729","Wed Apr 30 01:12:24 +0000 2025","0","@thviia_jw YA ALLAH ITU LEBIH TANGGUNG JIR SORE SORE","1917386522275504236","","thviia_jw","in","","0","1","0","https://x.com/undefined/status/1917386522275504236","999659267052326912",
"1911999557166346505","Tue Apr 29 04:04:23 +0000 2025","0","@semucolon udah ngga bisa ya kak?","1917067411863572746","","semucolon","in","","0","0","0","https://x.com/undefined/status/1917067411863572746","1403615571560722433",
"1916867280832774266","Tue Apr 29 03:59:47 +0000 2025","1","@GOMIKROKOSMOS kindly cdm kak","1917066254420246899","","GOMIKROKOSMOS","in","","0","0","1","https://x.com/undefined/status/1917066254420246899","1403615571560722433",
"1916716033530085673","Mon Apr 28 23:19:01 +0000 2025","0","@moleculover @sbmptnfess WKWKWK","1916995598663946481","","moleculover","in","","0","0","0","https://x.com/undefined/status/1916995598663946481","1888043858703024128",
"1914531665394934228","Mon Apr 28 16:10:06 +0000 2025","0","@yvestoria 2 tix 900k kh kak?","1916887658783273426","","yvestoria","in","","0","0","0","https://x.com/undefined/status/1916887658783273426","1578956674572091393",
